name,download_url,screen_name
production_lentil.tif,https://drive.google.com/uc?export=download&id=1fXcQUDck0_wD2ZrCEbwMmdFvJ7h7W88M,lentil
production_groundnut.tif,https://drive.google.com/uc?export=download&id=18eA1H6SJY_PzEyaua9oJgjTBnXT_fjH_,groundnut
production_cowpea.tif,https://drive.google.com/uc?export=download&id=19rn_v72rVzwWeXKkiw53-6fAAVPfsAzX,cowpea
production_cotton.tif,https://drive.google.com/uc?export=download&id=1Xb1z0uIZeTsdoq1QCp2EUeZXxCvRFzdc,cotton
production_coconut.tif,https://drive.google.com/uc?export=download&id=1zeQ_lqYlDuSJn2x0cS1fBzhXAwWgCpR9,coconut
production_cocoa.tif,https://drive.google.com/uc?export=download&id=1sV18BLPnbW-DCAQCtzqkt22cXn2CxwBj,cocoa
production_chickpea.tif,https://drive.google.com/uc?export=download&id=1hcYLnlKzLPbm0ju5A5urd9gwOZRepsWv,chickpea
production_cassava.tif,https://drive.google.com/uc?export=download&id=1t5P-riZvDMPAd83SzdacUqJt_JZioeAx,cassava
production_bean.tif,https://drive.google.com/uc?export=download&id=102Mstx2ZTg1dsNCnlhcMT75wyD-MRAfW,bean
production_barley.tif,https://drive.google.com/uc?export=download&id=1Wxw62gJJkul17g5A-ml-XZgp5F3ZQDIN,barley
production_banana.tif,https://drive.google.com/uc?export=download&id=1r5PqglthOguXG8dKwTRT3803zMdbnfG8,banana
production_arabica coffee.tif,https://drive.google.com/uc?export=download&id=1fBUJQ8aI_TLftk2cARvs5BU19o37E8ts,arabica coffee
harvested.area_yams.tif,https://drive.google.com/uc?export=download&id=1mWAOoojK96DOe6JZkQc1oaH8DxybHs1W,yams
harvested.area_wheat.tif,https://drive.google.com/uc?export=download&id=17trtEJpD_6Pmp_bDLBZQJIALJIMOBTkB,wheat
harvested.area_vegetables.tif,https://drive.google.com/uc?export=download&id=1SKNszB07tDSF_fuYYKrHkGOQqFdBbMLa,vegetables
harvested.area_tropical fruit.tif,https://drive.google.com/uc?export=download&id=1jN3w_6Q-_xSAzffKfshGxcqz4w4IC4HB,tropical fruit
harvested.area_tobacco.tif,https://drive.google.com/uc?export=download&id=1AKZ7PBdolm9-OEl1p5Rvc2Wfl8zwu2Kd,tobacco
harvested.area_temperate fruit.tif,https://drive.google.com/uc?export=download&id=1BqBo-84bFOB33J2r1HGIbbfYVQSR8bp1,temperate fruit
harvested.area_tea.tif,https://drive.google.com/uc?export=download&id=10boQZVUQhZG6yYq1HD-kg-OhqnlKr_Us,tea
harvested.area_sweet potato.tif,https://drive.google.com/uc?export=download&id=1t9nkclxMHam4iTDabnQ1KUW1tZu1GuZg,sweet potato
harvested.area_sunflower.tif,https://drive.google.com/uc?export=download&id=1hAgaKhzf-NarbZCowk4zW0Zme3ZnnOGU,sunflower
harvested.area_sugarcane.tif,https://drive.google.com/uc?export=download&id=1ig1vwgoXI4RjgYSWwQj-TN0lO4-R_WBR,sugarcane
harvested.area_sugarbeet.tif,https://drive.google.com/uc?export=download&id=11MpQdPhFLgy7dPlPpLagDnPK-GLPUBDI,sugarbeet
harvested.area_soybean.tif,https://drive.google.com/uc?export=download&id=1TwzCn9qMgNcwZpYE2u1ZCyOXyyvPVDUz,soybean
harvested.area_sorghum.tif,https://drive.google.com/uc?export=download&id=1rQ6yvKe2zV3QL4Ql1eMy4ZhVP1RnZhRE,sorghum
harvested.area_small millet.tif,https://drive.google.com/uc?export=download&id=1btOA3rB_UMWAqOAupvff5fMFYxVTHvuL,small millet
harvested.area_sesameseed.tif,https://drive.google.com/uc?export=download&id=1FQbxQAg-vUw7fQ1F1Uagj5rv7IER59lO,sesameseed
harvested.area_robusta coffee.tif,https://drive.google.com/uc?export=download&id=1Bndk0ghx_3Z7kRwVTuoxUoC1QvRuhiHu,robusta coffee
harvested.area_rice.tif,https://drive.google.com/uc?export=download&id=1Bb4fCGjkWPYhyqo2eZM07Egm6f5JAsLb,rice
harvested.area_rest of crops.tif,https://drive.google.com/uc?export=download&id=1fKo-qT_j9qTfgvjVDyIaG8TqE1V-_3ts,rest of crops
harvested.area_rapeseed.tif,https://drive.google.com/uc?export=download&id=1wDovPFSbCmOSV9OJgHe2WbUiqveDOdQ3,rapeseed
harvested.area_potato.tif,https://drive.google.com/uc?export=download&id=1C9LKxOYshYLjXlD_qcu1lRLWwo7xnZVy,potato
harvested.area_plantain.tif,https://drive.google.com/uc?export=download&id=1RKRTlEfEF0rA6e62Orp6ihU6iakZuRMK,plantain
harvested.area_pigeonpea.tif,https://drive.google.com/uc?export=download&id=1kn572_YMmtisSh_w-UtNpmRpwd73uAQQ,pigeonpea
